Variável,Coeficiente,Erro Padrão,Erro Padrão Robusto,Aumento Percentual
CapitalMetrop,-0.25778622583056604,0.01089978232498518,0.01089978232498518,-22.72%
IdhmAlto,0.2989983030131681,0.01730458953828352,0.01730458953828352,34.85%
PopulacaoAlta,-0.10588292519090481,0.017504894153951546,0.017504894153951546,-10.05%
Adolesc,0.15862107081257623,0.006983720986780289,0.006983720986780289,17.19%
Ano,-0.04507484226685894,0.0081240092074241,0.0081240092074241,-4.41%
